I. Chương trình Thưởng tháng 05,,,,,,,
,1. Thưởng Đại sứ mới,,,,,,
,- Cơ chế thưởng,,,,,,
,,"Thưởng Đại sứ mới lần đầu phát sinh doanh số, ghi nhận nỗ lực triển khai bán hàng trong giai đoạn đầu tham gia cộng đồng và đạt khởi đầu tích cực với doanh số tổng tháng từ 10 triệu trở lên.",,,,,
,- Chỉ tiêu xét thưởng và giá trị giải thưởng,,,,,,
,,Tháng đầu tiên phát sinh doanh số đạt từ,Giá trị giải thưởng,Số lượng giải,,,
,,10.000.000 ₫,99.000 ₫,10,,,
,,30.000.000 ₫,199.000 ₫,10,,,
,,50.000.000 ₫,299.000 ₫,10,,,
,,,,,,,
,2. Đại sứ Giáo dục xuất sắc,,,,,,
,- Cơ chế thưởng,,,,,,
,,"Thưởng Đại sứ đạt Top doanh số cá nhân, nhằm tôn vinh thành tích nổi bật và đóng góp tích cực trong hoạt động triển khai bán hàng.",,,,,
,- Chỉ tiêu xét thưởng và giá trị giải thưởng,,,,,,
,,Giải,Doanh số >=,Số lượng giải,Giá trị giải thưởng,,
,,Top 1,200.000.000 ₫,1,1.000.000 ₫,,
,,Top 2,150.000.000 ₫,1,800.000 ₫,,
,,Top 3,100.000.000 ₫,1,500.000 ₫,,
,,,,,,,
,3. Quản lý tuyển dụng xuất sắc,,,,,,
,- Cơ chế thưởng,,,,,,
,,"Thưởng ghi nhận Đại sứ tuyển dụng hiệu quả, đóng góp vào tăng trưởng đội ngũ",,,,,
,,- Đại sứ active có học viên đăng kí ít nhất 1 khóa học chính,,,,,
,- Chỉ tiêu xét thưởng và giá trị giải thưởng,,,,,,
,,Giải,Số lượng Đại sứ mới active,Tổng doanh số Đại sứ mới active,Số lượng giải,Giá trị giải thưởng,
,,Top 1,>= 5,>= 30.000.000đ,1,500.000 ₫,
,,,,,,,
,4. Quản lý tiêu biểu,,,,,,
,- Điều kiện đề cử & xét giải ,,,,,,
,,- Hoàn thành từ 100% mục tiêu cam kết theo cấp bậc,,,,,
,,- Thể hiện dấu ấn và ảnh hưởng tích cực trong đội ngũ và trong hệ thống Đại sứ Giáo dục Galaxy Education,,,,,
,,"- Là tấm gương tiêu biểu của tinh thần sáng tạo, đột phá, tích cực và lan tỏa giá trị giáo dục",,,,,
,,- Đại sứ active có học viên đăng kí ít nhất 1 khóa học chính,,,,,
,- Chỉ tiêu xét thưởng và giá trị giải thưởng,,,,,,
,,Quản lý,Thực đạt mục tiêu cam kết,Đại sứ mới active trong đội ngũ,Số lượng giải,Giá trị giải thưởng,Điều kiện đủ
,,Cấp Nhóm,>= 100%,>= 5,1,500.000 ₫,Thông qua đề xuất/ bình chọn/ xét duyệt dựa trên các yếu tố biểu dương khác
,,Cấp Phòng,>= 100%,>= 10,1,800.000 ₫,
,,Cấp Khu vực,>= 100%,>= 15,1,1.000.000 ₫,
,,,,,,,
,5. Thưởng bứt phá vượt giới hạn,,,,,,
,Đối tượng:,Toàn bộ Đại sứ phát sinh doanh số ICANCONNECT trong thời gian diễn ra chương trình,,,,,
,Thời gian áp dụng:,16/5 - 22/5,,,,,
,,Việc khấu trừ thuế thu nhập cá nhân của các khoản thưởng đều tuân thủ theo quy định của nhà nước.,,,,,
,,Mốc doanh thu hợp lệ,Điều kiện lead học thử,Mức thưởng,Số lượng giải thưởng,,
,,10.000.000,3,68.000,30,,
,,20.000.000,5,139.000,20,,
,,30.000.000,5,168.000,20,,
,,50.000.000,10,268.000,20,,
,,80.000.000,10,368.000,8,,
,,120.000.000,10,500.000,5,,
,,,,,,,
II. Thưởng Quý II/2026,,,,,,,
,1. Đại sứ Giáo dục xuất sắc,,,,,,
,- Cơ chế thưởng,,,,,,
,,"Thưởng ghi nhận nỗ lực tuyển sinh của Đại sứ, dựa trên số lượng học sinh tuyển sinh mới;",,,,,
,,Học sinh mới: học sinh đăng ký các khóa học theo hình thức học liveclass;,,,,,
,,Các giải thưởng Top 1 - Top 2 - Top 3: Xét trao thưởng cho cá nhân đạt điều kiện chính cao nhất và thoả mãn mọi điều kiện khác;,,,,,
,- Chỉ tiêu xét thưởng và giá trị giải thưởng,,,ControlOrMeta+ArrowUp,,,
,,Giải,Chỉ tiêu số lượng học sinh mới,Số lượng giải,Giá trị giải thưởng,,Điều kiện ràng buộc doanh số
,,Top 1,>= 55,1,1.500.000 ₫,Suất tham dự GEA,>= 250 triệu đồng
,,Top 2,>= 40,1,1.000.000 ₫,Suất tham dự GEA,>= 250 triệu đồng
,,Top 3,>= 25,1,800.000 ₫,Suất tham dự GEA,>= 250 triệu đồng
,,EGC,>= 25,30,500.000 ₫,Suất tham dự GEA,>= 200 triệu đồng
,,,,,,,
,2. Đại sứ bứt tốc,,,,,,
,- Cơ chế thưởng,,,,,,
,,"Thưởng ghi nhận Đại sứ bứt tốc ngoạn mục, chinh phục mốc 150 triệu đồng trong tháng cuối quý",,,,,
,,"Dành cho Đại sứ có kết quả tuyển sinh bứt tốc tháng cuối, không áp dụng với Đại sứ nằm trọng hạng mục EGC",,,,,
,,Điều kiện giải Bứt tốc sẽ được công bố vào tháng 6,,,,,
,- Chỉ tiêu xét thưởng và giá trị giải thưởng,,,,,,
,,Top,Doanh số tháng 6/2026,Giá trị giải thưởng,,,
,,,,500.000 ₫,Suất tham dự GEA,,
,,,,,,,
,3. Quản lý mới thăng cấp,,,,,,
,- Cơ chế thưởng,,,,,,
,,"Thưởng ghi nhận nỗ lực vượt mục tiêu cấp bậc, xuất sắc Thăng cấp lên các cấp bậc tiếp theo của Đại sứ",,,,,
,- Chỉ tiêu xét thưởng và giá trị giải thưởng,,,,,,
,,Đại sứ thăng cấp,Phần thưởng thăng cấp,,,,
,,Trưởng nhóm,Chứng nhận,Suất tham dự GEA,300.000 ₫,,
